query_id,domain,query_text,rank,post_id,post_mood,post_content_preview,similarity_score_pct,relevant_annotator_1,relevant_annotator_2,notes
A03,Academic Stress,I cannot concentrate on studying because the placement season is making me panic,2,98de497e-8a96-42a2-be18-57d87cb1e9a7,Anxious,I keep panicking every time I think about my engineering semester exams,80,1.0,1.0,
A03,Academic Stress,I cannot concentrate on studying because the placement season is making me panic,3,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,77,1.0,1.0,
A03,Academic Stress,I cannot concentrate on studying because the placement season is making me panic,4,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",72,1.0,1.0,
A03,Academic Stress,I cannot concentrate on studying because the placement season is making me panic,5,92cc8251-fa89-4f7c-b781-af8e3c9d4b19,Anxious,My heart races thinking about the future. It has been on my mind lately.,64,1.0,1.0,
A04,Academic Stress,Everyone else in my class got internships and I am still sitting at home doing nothing,—,—,—,NO MATCHES RETURNED,—,,,
A05,Academic Stress,"I spent three months preparing for the interview and still got rejected, I feel worthless",1,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",70,1.0,1.0,
A05,Academic Stress,"I spent three months preparing for the interview and still got rejected, I feel worthless",2,30bae255-fd7f-4714-8011-3f2eb663e9ff,Anxious,The pressure from my placement tests is making me feel completely overwhelmed and anxious,67,1.0,1.0,
A05,Academic Stress,"I spent three months preparing for the interview and still got rejected, I feel worthless",3,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,65,1.0,1.0,
A05,Academic Stress,"I spent three months preparing for the interview and still got rejected, I feel worthless",4,2d383383-05f7-4f72-9ece-a7cc0b645a76,Sad,im depressed,61,1.0,1.0,
A05,Academic Stress,"I spent three months preparing for the interview and still got rejected, I feel worthless",5,1ce76446-07ab-4f96-834a-fca12936cef6,Sad,im depressed,61,1.0,1.0,
A06,Academic Stress,My parents paid so much for my education and I am returning home with no degree,1,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,61,1.0,1.0,
A07,Academic Stress,Every time I open the textbook my mind goes blank and I cannot retain anything,1,98de497e-8a96-42a2-be18-57d87cb1e9a7,Anxious,I keep panicking every time I think about my engineering semester exams,64,1.0,1.0,
A07,Academic Stress,Every time I open the textbook my mind goes blank and I cannot retain anything,2,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,60,1.0,1.0,
A08,Academic Stress,I missed so many classes this semester I do not even know what subjects I am failing,1,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,64,1.0,1.0,
A08,Academic Stress,I missed so many classes this semester I do not even know what subjects I am failing,2,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",63,1.0,1.0,
A08,Academic Stress,I missed so many classes this semester I do not even know what subjects I am failing,3,98de497e-8a96-42a2-be18-57d87cb1e9a7,Anxious,I keep panicking every time I think about my engineering semester exams,62,1.0,1.0,
A09,Academic Stress,The competitive pressure from my peers is stopping me from sleeping at night,1,30bae255-fd7f-4714-8011-3f2eb663e9ff,Anxious,The pressure from my placement tests is making me feel completely overwhelmed and anxious,64,1.0,1.0,
A09,Academic Stress,The competitive pressure from my peers is stopping me from sleeping at night,2,32a5cbd6-1b1d-4c4f-9a6d-8dca9d213167,Anxious,I overthink everything before sleeping. It has been on my mind lately.,63,1.0,1.0,
A09,Academic Stress,The competitive pressure from my peers is stopping me from sleeping at night,3,c8638704-3333-4336-b96d-7ff5b936ec40,Anxious,I overthink everything before sleeping. It has been on my mind lately.,63,1.0,1.0,
A09,Academic Stress,The competitive pressure from my peers is stopping me from sleeping at night,4,ea231899-4b83-4159-9eef-7d70d2f982b9,Anxious,I overthink everything before sleeping. It has been on my mind lately.,63,1.0,1.0,
A09,Academic Stress,The competitive pressure from my peers is stopping me from sleeping at night,5,8ce61242-ccc1-4684-af74-8898b5c7b972,Anxious,I overthink everything before sleeping. It has been on my mind lately.,63,1.0,1.0,
A10,Academic Stress,My CGPA is too low to apply to any company and I do not know what to do next,1,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",62,1.0,1.0,
B01,Emotional Distress,I wake up every morning with this heavy feeling in my chest and I do not know why,1,cbd78d30-9547-4488-882f-2206150198b6,Sad,I feel emotionally heavy lately. It has been on my mind lately.,70,1.0,1.0,
B01,Emotional Distress,I wake up every morning with this heavy feeling in my chest and I do not know why,2,69a5308e-c26b-4b44-b9b0-95ceb5390bef,Sad,I feel emotionally heavy lately. It has been on my mind lately.,70,1.0,1.0,
B01,Emotional Distress,I wake up every morning with this heavy feeling in my chest and I do not know why,3,e181808c-2d67-4a4b-ae54-4960b8a0d674,Sad,I feel emotionally heavy lately. It has been on my mind lately.,70,1.0,1.0,
B01,Emotional Distress,I wake up every morning with this heavy feeling in my chest and I do not know why,4,adb6f84d-e65a-4ab9-a428-a3ce4bcf79bd,Sad,I feel emotionally heavy lately. It has been on my mind lately.,70,1.0,1.0,
B01,Emotional Distress,I wake up every morning with this heavy feeling in my chest and I do not know why,5,86bd74e6-5719-40a7-a078-c764602efaf9,Sad,I feel emotionally heavy lately. It has been on my mind lately.,70,1.0,1.0,
B02,Emotional Distress,I have been pretending to be okay for so long I forgot what actually okay feels like,1,af45b665-02f2-4233-b500-d04537ed9f0a,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
B02,Emotional Distress,I have been pretending to be okay for so long I forgot what actually okay feels like,2,1c046038-29b0-4ff9-a12c-870f9b061235,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
B02,Emotional Distress,I have been pretending to be okay for so long I forgot what actually okay feels like,3,8c2240b5-9574-4a5c-b266-5faff1076a25,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
B02,Emotional Distress,I have been pretending to be okay for so long I forgot what actually okay feels like,4,ff96ba4e-d2f0-4706-9b1b-8beccc418eb8,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
B02,Emotional Distress,I have been pretending to be okay for so long I forgot what actually okay feels like,5,e10861ac-970a-4eb9-8292-7049c9506adf,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
B03,Emotional Distress,"Nothing brings me happiness anymore, everything just feels grey and pointless",1,77c0451d-59f2-4c53-9c96-4c4b9a460d89,Sad,Everything feels dull and distant. It has been on my mind lately.,75,1.0,1.0,
B03,Emotional Distress,"Nothing brings me happiness anymore, everything just feels grey and pointless",2,d4ae5eff-fade-4044-a4a6-a7a13ea26e3f,Sad,Everything feels dull and distant. It has been on my mind lately.,75,1.0,1.0,
B03,Emotional Distress,"Nothing brings me happiness anymore, everything just feels grey and pointless",3,12935c5f-da6e-40fe-a09a-a3bbba07e8b4,Sad,Everything feels dull and distant. It has been on my mind lately.,75,1.0,1.0,
B03,Emotional Distress,"Nothing brings me happiness anymore, everything just feels grey and pointless",4,20bd2a97-5f32-41c4-ad3f-cbb30a5aefe7,Sad,Everything feels dull and distant. It has been on my mind lately.,75,1.0,1.0,
B03,Emotional Distress,"Nothing brings me happiness anymore, everything just feels grey and pointless",5,0e361681-50eb-41df-8d4f-4cfcf085a7b1,Sad,Everything feels dull and distant. It has been on my mind lately.,75,1.0,1.0,
B04,Emotional Distress,I keep crying without any reason and I am too embarrassed to tell anyone,1,1cc8a3c1-4525-40c9-8700-11d6e7fe0b7a,Sad,im depressed,62,1.0,1.0,
B04,Emotional Distress,I keep crying without any reason and I am too embarrassed to tell anyone,2,29bb1229-9d12-4d39-a9ee-6695e98204e7,Sad,im depressed,62,1.0,1.0,
B04,Emotional Distress,I keep crying without any reason and I am too embarrassed to tell anyone,3,2d383383-05f7-4f72-9ece-a7cc0b645a76,Sad,im depressed,62,1.0,1.0,
B04,Emotional Distress,I keep crying without any reason and I am too embarrassed to tell anyone,4,1ce76446-07ab-4f96-834a-fca12936cef6,Sad,im depressed,62,1.0,1.0,
B04,Emotional Distress,I keep crying without any reason and I am too embarrassed to tell anyone,5,8c2240b5-9574-4a5c-b266-5faff1076a25,Sad,I feel invisible in my own world. It has been on my mind lately.,61,1.0,1.0,
B05,Emotional Distress,I feel completely drained all the time even after sleeping for ten hours,1,bb42f295-7236-452e-a203-d80cfa5f4fc5,Tired,I feel drained after everything. It has been on my mind lately.,79,1.0,1.0,
B05,Emotional Distress,I feel completely drained all the time even after sleeping for ten hours,2,cb9f93cd-56c9-4fc9-b9ec-bf8b9e7edcb8,Tired,I feel drained after everything. It has been on my mind lately.,79,1.0,1.0,
B05,Emotional Distress,I feel completely drained all the time even after sleeping for ten hours,3,0f784cb7-fd5e-49a3-82a9-94056a70ccc9,Tired,I feel drained after everything. It has been on my mind lately.,79,1.0,1.0,
B05,Emotional Distress,I feel completely drained all the time even after sleeping for ten hours,4,afc71f57-6130-47fa-a945-a24ee4c2234b,Tired,I feel drained after everything. It has been on my mind lately.,79,1.0,1.0,
B05,Emotional Distress,I feel completely drained all the time even after sleeping for ten hours,5,2785a900-c731-43ba-b5cf-c656d28cf775,Tired,I feel completely burnt out. It has been on my mind lately.,74,1.0,1.0,
B06,Emotional Distress,There is a voice in my head constantly telling me I am not good enough for anything,1,8ce61242-ccc1-4684-af74-8898b5c7b972,Anxious,I overthink everything before sleeping. It has been on my mind lately.,64,1.0,1.0,
B06,Emotional Distress,There is a voice in my head constantly telling me I am not good enough for anything,2,32a5cbd6-1b1d-4c4f-9a6d-8dca9d213167,Anxious,I overthink everything before sleeping. It has been on my mind lately.,64,1.0,1.0,
B06,Emotional Distress,There is a voice in my head constantly telling me I am not good enough for anything,3,c8638704-3333-4336-b96d-7ff5b936ec40,Anxious,I overthink everything before sleeping. It has been on my mind lately.,64,1.0,1.0,
B06,Emotional Distress,There is a voice in my head constantly telling me I am not good enough for anything,4,ea231899-4b83-4159-9eef-7d70d2f982b9,Anxious,I overthink everything before sleeping. It has been on my mind lately.,64,1.0,1.0,
B06,Emotional Distress,There is a voice in my head constantly telling me I am not good enough for anything,5,52dd8adf-320f-4dfb-9f54-f1457249f13e,Anxious,I overthink everything before sleeping. It has been on my mind lately.,64,1.0,1.0,
B07,Emotional Distress,"I do not see the point of continuing, every effort I make ends in disappointment",1,1cc8a3c1-4525-40c9-8700-11d6e7fe0b7a,Sad,im depressed,61,1.0,1.0,
B07,Emotional Distress,"I do not see the point of continuing, every effort I make ends in disappointment",2,29bb1229-9d12-4d39-a9ee-6695e98204e7,Sad,im depressed,61,1.0,1.0,
B07,Emotional Distress,"I do not see the point of continuing, every effort I make ends in disappointment",3,2d383383-05f7-4f72-9ece-a7cc0b645a76,Sad,im depressed,61,1.0,1.0,
B07,Emotional Distress,"I do not see the point of continuing, every effort I make ends in disappointment",4,1ce76446-07ab-4f96-834a-fca12936cef6,Sad,im depressed,61,1.0,1.0,
B07,Emotional Distress,"I do not see the point of continuing, every effort I make ends in disappointment",5,48ca6598-8a1a-48d4-b5c6-b85daaade450,Sad,"Feeling hopeless about my results, I studied so hard but I don't think it's enough",60,1.0,1.0,
B08,Emotional Distress,"My anxiety makes my heart race even when nothing is happening, it is exhausting",1,cb62742f-eabc-4532-b21b-ef24999dd29b,Anxious,My heart races thinking about the future. It has been on my mind lately.,74,1.0,1.0,
B08,Emotional Distress,"My anxiety makes my heart race even when nothing is happening, it is exhausting",2,92cc8251-fa89-4f7c-b781-af8e3c9d4b19,Anxious,My heart races thinking about the future. It has been on my mind lately.,74,1.0,1.0,
B08,Emotional Distress,"My anxiety makes my heart race even when nothing is happening, it is exhausting",3,ae76a846-cec3-4ec5-8e42-ea5851df87ce,Anxious,My heart races thinking about the future. It has been on my mind lately.,74,1.0,1.0,
B08,Emotional Distress,"My anxiety makes my heart race even when nothing is happening, it is exhausting",4,bc18e5bc-cd76-46e5-a97b-2669c751c0f5,Anxious,My heart races thinking about the future. It has been on my mind lately.,74,1.0,1.0,
B08,Emotional Distress,"My anxiety makes my heart race even when nothing is happening, it is exhausting",5,f36271f7-2632-4194-a226-5bb458225f85,Anxious,My heart races thinking about the future. It has been on my mind lately.,74,1.0,1.0,
B09,Emotional Distress,"I have been numb for weeks, I cannot feel happy or sad, just empty",1,d4ae5eff-fade-4044-a4a6-a7a13ea26e3f,Sad,Everything feels dull and distant. It has been on my mind lately.,73,1.0,1.0,
B09,Emotional Distress,"I have been numb for weeks, I cannot feel happy or sad, just empty",2,20bd2a97-5f32-41c4-ad3f-cbb30a5aefe7,Sad,Everything feels dull and distant. It has been on my mind lately.,73,1.0,1.0,
B09,Emotional Distress,"I have been numb for weeks, I cannot feel happy or sad, just empty",3,12935c5f-da6e-40fe-a09a-a3bbba07e8b4,Sad,Everything feels dull and distant. It has been on my mind lately.,73,1.0,1.0,
B09,Emotional Distress,"I have been numb for weeks, I cannot feel happy or sad, just empty",4,77c0451d-59f2-4c53-9c96-4c4b9a460d89,Sad,Everything feels dull and distant. It has been on my mind lately.,73,1.0,1.0,
B09,Emotional Distress,"I have been numb for weeks, I cannot feel happy or sad, just empty",5,0e361681-50eb-41df-8d4f-4cfcf085a7b1,Sad,Everything feels dull and distant. It has been on my mind lately.,73,1.0,1.0,
B10,Emotional Distress,The smallest things trigger me now and I hate how sensitive I have become,1,d6705eeb-d179-4581-bbff-26812d9da31a,Anxious,I worry constantly about small things. It has been on my mind lately.,71,1.0,1.0,
B10,Emotional Distress,The smallest things trigger me now and I hate how sensitive I have become,2,f8c246af-e3a2-4236-a5fd-da523c46aff4,Anxious,I worry constantly about small things. It has been on my mind lately.,71,1.0,1.0,
B10,Emotional Distress,The smallest things trigger me now and I hate how sensitive I have become,3,5dc78f56-2224-44dd-b2d5-d5f13214ac45,Anxious,I worry constantly about small things. It has been on my mind lately.,71,1.0,1.0,
B10,Emotional Distress,The smallest things trigger me now and I hate how sensitive I have become,4,220624d5-c85d-42b6-a1c6-57f2775c2789,Anxious,I worry constantly about small things. It has been on my mind lately.,71,1.0,1.0,
B10,Emotional Distress,The smallest things trigger me now and I hate how sensitive I have become,5,f0acea37-3ca0-40d0-9d09-526d33dcc3b6,Anxious,I worry constantly about small things. It has been on my mind lately.,71,1.0,1.0,
C01,Social & Relational,I am surrounded by people all day but I have never felt more alone in my life,1,1c046038-29b0-4ff9-a12c-870f9b061235,Sad,I feel invisible in my own world. It has been on my mind lately.,70,1.0,1.0,
C01,Social & Relational,I am surrounded by people all day but I have never felt more alone in my life,2,af45b665-02f2-4233-b500-d04537ed9f0a,Sad,I feel invisible in my own world. It has been on my mind lately.,70,1.0,1.0,
C01,Social & Relational,I am surrounded by people all day but I have never felt more alone in my life,3,ff96ba4e-d2f0-4706-9b1b-8beccc418eb8,Sad,I feel invisible in my own world. It has been on my mind lately.,70,1.0,1.0,
C01,Social & Relational,I am surrounded by people all day but I have never felt more alone in my life,4,8c2240b5-9574-4a5c-b266-5faff1076a25,Sad,I feel invisible in my own world. It has been on my mind lately.,70,1.0,1.0,
C01,Social & Relational,I am surrounded by people all day but I have never felt more alone in my life,5,e10861ac-970a-4eb9-8292-7049c9506adf,Sad,I feel invisible in my own world. It has been on my mind lately.,70,1.0,1.0,
C02,Social & Relational,My parents compare me to my cousin every single day and it is destroying my confidence,1,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,67,1.0,1.0,
C03,Social & Relational,I had to end a three year friendship because it was becoming too toxic but I miss them,—,—,—,NO MATCHES RETURNED,—,,,
C04,Social & Relational,"Nobody checks on me first, I am always the one starting conversations and I am tired",1,17cc4761-c2dc-4a9c-a3f7-3caaa56e4bad,Tired,I am mentally exhausted. It has been on my mind lately.,66,1.0,1.0,
C04,Social & Relational,"Nobody checks on me first, I am always the one starting conversations and I am tired",2,c17462c9-aa08-4672-b106-fc3076371889,Tired,I am mentally exhausted. It has been on my mind lately.,66,1.0,1.0,
C04,Social & Relational,"Nobody checks on me first, I am always the one starting conversations and I am tired",3,2785a900-c731-43ba-b5cf-c656d28cf775,Tired,I feel completely burnt out. It has been on my mind lately.,65,1.0,1.0,
C04,Social & Relational,"Nobody checks on me first, I am always the one starting conversations and I am tired",4,bb42f295-7236-452e-a203-d80cfa5f4fc5,Tired,I feel drained after everything. It has been on my mind lately.,63,1.0,1.0,
C04,Social & Relational,"Nobody checks on me first, I am always the one starting conversations and I am tired",5,cb9f93cd-56c9-4fc9-b9ec-bf8b9e7edcb8,Tired,I feel drained after everything. It has been on my mind lately.,63,1.0,1.0,
C05,Social & Relational,My family expects me to be the responsible one and I am breaking under that weight,1,b93969b4-9002-4d92-b22b-c188ab0ffcc8,Calm,I am choosing to move at my own pace instead of rushing.,65,1.0,1.0,
C05,Social & Relational,My family expects me to be the responsible one and I am breaking under that weight,2,324c461b-e284-4336-8048-262495022a85,Anxious,I am terrified about failing my upcoming exams and my parents are going to be so disappointed,63,1.0,1.0,
C05,Social & Relational,My family expects me to be the responsible one and I am breaking under that weight,3,69a5308e-c26b-4b44-b9b0-95ceb5390bef,Sad,I feel emotionally heavy lately. It has been on my mind lately.,61,1.0,1.0,
C05,Social & Relational,My family expects me to be the responsible one and I am breaking under that weight,4,adb6f84d-e65a-4ab9-a428-a3ce4bcf79bd,Sad,I feel emotionally heavy lately. It has been on my mind lately.,61,1.0,1.0,
C05,Social & Relational,My family expects me to be the responsible one and I am breaking under that weight,5,e181808c-2d67-4a4b-ae54-4960b8a0d674,Sad,I feel emotionally heavy lately. It has been on my mind lately.,61,1.0,1.0,
C06,Social & Relational,"I feel invisible in my friend group, like I could disappear and no one would notice",1,1c046038-29b0-4ff9-a12c-870f9b061235,Sad,I feel invisible in my own world. It has been on my mind lately.,79,1.0,1.0,
C06,Social & Relational,"I feel invisible in my friend group, like I could disappear and no one would notice",2,8c2240b5-9574-4a5c-b266-5faff1076a25,Sad,I feel invisible in my own world. It has been on my mind lately.,79,1.0,1.0,
C06,Social & Relational,"I feel invisible in my friend group, like I could disappear and no one would notice",3,af45b665-02f2-4233-b500-d04537ed9f0a,Sad,I feel invisible in my own world. It has been on my mind lately.,79,1.0,1.0,
C06,Social & Relational,"I feel invisible in my friend group, like I could disappear and no one would notice",4,ff96ba4e-d2f0-4706-9b1b-8beccc418eb8,Sad,I feel invisible in my own world. It has been on my mind lately.,79,1.0,1.0,
C06,Social & Relational,"I feel invisible in my friend group, like I could disappear and no one would notice",5,e10861ac-970a-4eb9-8292-7049c9506adf,Sad,I feel invisible in my own world. It has been on my mind lately.,79,1.0,1.0,
C07,Social & Relational,My roommate situation is making home feel unsafe and I have nowhere else to go,—,—,—,NO MATCHES RETURNED,—,,,
C08,Social & Relational,I told my best friend how I was feeling and they just changed the subject,1,adb6f84d-e65a-4ab9-a428-a3ce4bcf79bd,Sad,I feel emotionally heavy lately. It has been on my mind lately.,67,1.0,1.0,
C08,Social & Relational,I told my best friend how I was feeling and they just changed the subject,2,cbd78d30-9547-4488-882f-2206150198b6,Sad,I feel emotionally heavy lately. It has been on my mind lately.,67,1.0,1.0,
C08,Social & Relational,I told my best friend how I was feeling and they just changed the subject,3,e181808c-2d67-4a4b-ae54-4960b8a0d674,Sad,I feel emotionally heavy lately. It has been on my mind lately.,67,1.0,1.0,
C08,Social & Relational,I told my best friend how I was feeling and they just changed the subject,4,69a5308e-c26b-4b44-b9b0-95ceb5390bef,Sad,I feel emotionally heavy lately. It has been on my mind lately.,67,1.0,1.0,
C08,Social & Relational,I told my best friend how I was feeling and they just changed the subject,5,86bd74e6-5719-40a7-a078-c764602efaf9,Sad,I feel emotionally heavy lately. It has been on my mind lately.,67,1.0,1.0,
C09,Social & Relational,Social media makes me feel like everyone has their life together except me,1,af45b665-02f2-4233-b500-d04537ed9f0a,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
C09,Social & Relational,Social media makes me feel like everyone has their life together except me,2,1c046038-29b0-4ff9-a12c-870f9b061235,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
C09,Social & Relational,Social media makes me feel like everyone has their life together except me,3,ff96ba4e-d2f0-4706-9b1b-8beccc418eb8,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
C09,Social & Relational,Social media makes me feel like everyone has their life together except me,4,8c2240b5-9574-4a5c-b266-5faff1076a25,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
C09,Social & Relational,Social media makes me feel like everyone has their life together except me,5,e10861ac-970a-4eb9-8292-7049c9506adf,Sad,I feel invisible in my own world. It has been on my mind lately.,69,1.0,1.0,
C10,Social & Relational,I moved to a new city for college and I have not made a single real friend in a year,—,—,—,NO MATCHES RETURNED,—,,,
